,longitude,latitude,age,income,value,ocean_p,category,bedPPersn,roomPPersn,bedPRoom,bedPFam,persnPFam
0,-122.23,37.88,41.0,8.3252,452600.0,NEAR BAY,20%_expensive,0.40062111801242234,2.732919254658385,0.14659090909090908,1.0238095238095237,2.5555555555555554
1,-122.22,37.86,21.0,8.3014,358500.0,NEAR BAY,20%_expensive,0.4606413994169096,2.9566847147022073,0.15579659106916466,0.9718804920913884,2.109841827768014
2,-122.24,37.85,52.0,7.2574,352100.0,NEAR BAY,20%_expensive,0.38306451612903225,2.9576612903225805,0.12951601908657123,1.073446327683616,2.8022598870056497
3,-122.25,37.85,52.0,5.6431,341300.0,NEAR BAY,20%_expensive,0.4211469534050179,2.283154121863799,0.18445839874411302,1.0730593607305936,2.547945205479452
4,-122.25,37.85,52.0,3.8462,342200.0,NEAR BAY,20%_expensive,0.49557522123893805,2.879646017699115,0.1720958819913952,1.0810810810810811,2.1814671814671813
5,-122.25,37.85,52.0,4.0368,269700.0,NEAR BAY,60%-80%,0.5157384987893463,2.225181598062954,0.23177366702937977,1.1036269430051813,2.139896373056995
6,-122.25,37.84,52.0,3.6591,299200.0,NEAR BAY,20%_expensive,0.4469835466179159,2.3171846435100547,0.19289940828402366,0.9513618677042801,2.1284046692607004
7,-122.25,37.84,52.0,3.12,241400.0,NEAR BAY,60%-80%,0.5937770095073466,2.6828003457216942,0.22132731958762886,1.061823802163833,1.7882534775888717
8,-122.26,37.84,42.0,2.0804,226700.0,NEAR BAY,60%-80%,0.5514096185737977,2.1185737976782755,0.2602739726027397,1.1176470588235294,2.026890756302521
9,-122.25,37.84,52.0,3.6912,261100.0,NEAR BAY,60%-80%,0.4558349451966473,2.288201160541586,0.1992110453648915,0.9901960784313726,2.172268907563025
10,-122.26,37.85,52.0,3.2031,281500.0,NEAR BAY,60%-80%,0.47692307692307695,2.4197802197802196,0.19709355131698456,1.0796019900497513,2.263681592039801
11,-122.26,37.85,52.0,3.2705,241800.0,NEAR BAY,60%-80%,0.5,2.329122340425532,0.2146731373108764,1.0245231607629428,2.0490463215258856
12,-122.26,37.85,52.0,3.075,213500.0,NEAR BAY,60%-80%,0.43169398907103823,2.268670309653916,0.1902850260939382,1.0128205128205128,2.3461538461538463
13,-122.26,37.84,52.0,2.6736,191300.0,NEAR BAY,40%-60%,0.553623188405797,2.017391304347826,0.2744252873563218,1.0977011494252873,1.9827586206896552
14,-122.26,37.85,52.0,1.9167,159200.0,NEAR BAY,40%-60%,0.5165016501650165,2.1806930693069306,0.23685206205069997,1.0096774193548388,1.9548387096774194
15,-122.26,37.85,50.0,2.125,140000.0,NEAR BAY,20%-40%,0.406025824964132,1.6068866571018652,0.2526785714285714,1.071969696969697,2.640151515151515
16,-122.27,37.85,52.0,2.775,152500.0,NEAR BAY,20%-40%,0.43757881462799497,2.479192938209332,0.17650050864699898,1.0483383685800605,2.395770392749245
17,-122.27,37.85,52.0,2.1202,155500.0,NEAR BAY,20%-40%,0.4521604938271605,1.8950617283950617,0.23859934853420195,0.966996699669967,2.1386138613861387
18,-122.26,37.84,50.0,1.9911,158700.0,NEAR BAY,40%-60%,0.4595959595959596,2.2616161616161614,0.20321572130415363,1.0859188544152745,2.3627684964200477
19,-122.27,37.84,52.0,2.6033,162900.0,NEAR BAY,40%-60%,0.4318840579710145,2.1782608695652175,0.19827012641383898,1.0836363636363637,2.5090909090909093
20,-122.27,37.85,40.0,1.3578,147500.0,NEAR BAY,20%-40%,0.44987775061124696,1.8361858190709046,0.24500665778961384,1.108433734939759,2.463855421686747
21,-122.27,37.85,42.0,1.7135,159800.0,NEAR BAY,40%-60%,0.395048439181916,1.7642626480086114,0.2239170225747407,1.0027322404371584,2.5382513661202184
22,-122.27,37.84,52.0,1.725,113900.0,NEAR BAY,20%-40%,0.5330049261083744,2.4,0.22208538587848933,1.1317991631799162,2.1234309623430963
23,-122.27,37.84,52.0,2.1806,99700.0,NEAR BAY,20%_cheaper,0.3950762016412661,1.9788980070339977,0.19964454976303317,1.0369230769230768,2.624615384615385
